,name,rating,date,one,two,three,four,five,tag,tag_name,region,region_name,era,is_made_in_china,log10_proportion
6444,铁血战士：猎物 Prey(2022),6.4,2022-08-05,7.6,24.7,49.4,14.5,3.7,tag3,恐怖,region1, 美国,2020s,0.0,0.8808135922807914
6445,光年正传 Lightyear(2022),6.8,2022-06-15,11.1,31.1,47.0,9.1,1.7,tag3,科幻,region1, 美国,2020s,0.0,1.0453229787866574
6446,熊出没·重返地球(2022),6.5,2022-02-01,8.4,25.5,51.5,12.7,1.9,tag3,儿童,region1, 中国大陆,2020s,1.0,0.9242792860618817
6447,鬼灭之刃 那田蜘蛛山篇 鬼滅の刃 那田蜘蛛山編(2020),9.2,2020-10-17,67.8,26.0,5.2,0.4,0.5,tag3,奇幻,region1, 日本,2020s,0.0,1.8312296938670634
6448,追虎擒龙(2021),5.0,2021-05-01,1.3,5.4,45.3,39.5,8.4,tag3,犯罪,region1, 中国香港 ,2020s,1.0,0.11394335230683679
6449,善恶魔法学院 The School for Good and Evil(2022),5.6,2022-10-19,5.9,14.1,43.3,27.3,9.3,tag3,奇幻,region1, 美国,2020s,0.0,0.7708520116421442
6450,亚当计划 The Adam Project(2022),6.3,2022-03-11,6.5,22.0,55.0,14.5,1.9,tag3,科幻,region1, 美国,2020s,0.0,0.8129133566428556
6451,热带往事(2021),6.2,2021-06-12,3.1,21.6,56.9,16.6,1.8,tag3,犯罪,region1, 中国大陆,2020s,1.0,0.4913616938342727
6452,前程似锦的女孩 Promising Young Woman(2020),7.7,2020-01-25,21.0,46.3,28.1,3.8,0.9,tag3,犯罪,region1, 英国 ,2020s,0.0,1.3222192947339193
6453,名侦探柯南：绯色的不在场证明 名探偵コナン 緋色の不在証明(2021),7.0,2021-02-11,15.6,29.4,44.9,8.1,2.1,tag3,动画,region1, 日本,2020s,0.0,1.1931245983544616
6454,孤儿怨：首杀 Orphan: First Kill(2022),5.5,2022-07-27,3.8,10.6,48.0,30.7,7.0,tag3,恐怖,region1, 美国,2020s,0.0,0.5797835966168101
6455,月半爱丽丝(2020),3.5,2020-10-30,1.8,1.8,13.3,33.1,49.9,tag3,奇幻,region1, 中国大陆,2020s,1.0,0.25527250510330607
